## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/home/bkh0024/DaphniaGenomics19/GenomeOrg/Results/BA_411.bwa_Jun_10/BA_411.sorted.bam] OUTPUT=MD_BA_411.sorted.bam METRICS_FILE=MD_BA_411.metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jun 16 18:44:41 CDT 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
USD16091408L	681816	22758520	1428701	7221594	469124	6600177	604258	0.295883	33151962

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.018995
2.0	1.531896
3.0	1.790059
4.0	1.920002
5.0	1.985408
6.0	2.018329
7.0	2.0349
8.0	2.04324
9.0	2.047439
10.0	2.049552
11.0	2.050615
12.0	2.051151
13.0	2.05142
14.0	2.051556
15.0	2.051624
16.0	2.051658
17.0	2.051676
18.0	2.051684
19.0	2.051689
20.0	2.051691
21.0	2.051692
22.0	2.051693
23.0	2.051693
24.0	2.051693
25.0	2.051693
26.0	2.051693
27.0	2.051693
28.0	2.051693
29.0	2.051693
30.0	2.051693
31.0	2.051693
32.0	2.051693
33.0	2.051693
34.0	2.051693
35.0	2.051693
36.0	2.051693
37.0	2.051693
38.0	2.051693
39.0	2.051693
40.0	2.051693
41.0	2.051693
42.0	2.051693
43.0	2.051693
44.0	2.051693
45.0	2.051693
46.0	2.051693
47.0	2.051693
48.0	2.051693
49.0	2.051693
50.0	2.051693
51.0	2.051693
52.0	2.051693
53.0	2.051693
54.0	2.051693
55.0	2.051693
56.0	2.051693
57.0	2.051693
58.0	2.051693
59.0	2.051693
60.0	2.051693
61.0	2.051693
62.0	2.051693
63.0	2.051693
64.0	2.051693
65.0	2.051693
66.0	2.051693
67.0	2.051693
68.0	2.051693
69.0	2.051693
70.0	2.051693
71.0	2.051693
72.0	2.051693
73.0	2.051693
74.0	2.051693
75.0	2.051693
76.0	2.051693
77.0	2.051693
78.0	2.051693
79.0	2.051693
80.0	2.051693
81.0	2.051693
82.0	2.051693
83.0	2.051693
84.0	2.051693
85.0	2.051693
86.0	2.051693
87.0	2.051693
88.0	2.051693
89.0	2.051693
90.0	2.051693
91.0	2.051693
92.0	2.051693
93.0	2.051693
94.0	2.051693
95.0	2.051693
96.0	2.051693
97.0	2.051693
98.0	2.051693
99.0	2.051693
100.0	2.051693

